"density","infectioness","mortality","speed","step","infected"
0.9,0.9,1.4,3,44,2129.66666666667
0.9,0.9,1.4,3,45,1885.43333333333
0.9,0.9,1.4,3,46,1631.43333333333
0.9,0.9,1.4,3,47,1378.33333333333
0.9,0.9,1.4,3,48,1130.5
0.9,0.9,1.4,3,49,892
0.9,0.9,1.4,3,50,678.533333333333
0.9,0.9,1.4,3,51,502.9
0.9,0.9,1.4,3,52,359.966666666667
0.9,0.9,1.4,3,53,253.766666666667
0.9,0.9,1.4,3,54,173.566666666667
0.9,0.9,1.4,3,55,112.466666666667
0.9,0.9,1.4,3,56,72.0666666666667
0.9,0.9,1.4,3,57,45.7333333333333
0.9,0.9,1.4,3,58,30.1
0.9,0.9,1.4,3,59,20.3
0.9,0.9,1.4,3,60,13.6333333333333
0.9,0.9,1.4,3,61,9.7
0.9,0.9,1.4,3,62,6.5
0.9,0.9,1.4,3,63,4.14285714285714
0.9,0.9,1.4,3,64,2.92857142857143
0.9,0.9,1.4,3,65,2
0.9,0.9,1.4,3,66,1.71428571428571
0.9,0.9,1.4,3,67,1.33333333333333
0.9,0.9,1.4,3,68,1
0.9,0.9,1.4,3,69,0.909090909090909
0.9,0.9,1.4,3,70,0.7
0.9,0.9,1.4,3,71,0.714285714285714
0.9,0.9,1.4,3,72,1
0.9,0.9,1.4,3,73,0.8
0.9,0.9,1.4,3,74,0.75
0.9,0.9,1.4,3,75,0.666666666666667
0.9,0.9,1.4,3,76,1
0.9,0.9,1.4,3,77,1
0.9,0.9,1.4,3,78,1
0.9,0.9,1.4,3,79,0.5
0.9,0.9,1.4,3,80,0
0.9,0.9,1.4,3.5,0,0
0.9,0.9,1.4,3.5,1,6.4
0.9,0.9,1.4,3.5,2,11.9333333333333
0.9,0.9,1.4,3.5,3,18.2333333333333
0.9,0.9,1.4,3.5,4,22.9333333333333
0.9,0.9,1.4,3.5,5,30.4666666666667
0.9,0.9,1.4,3.5,6,49.6
0.9,0.9,1.4,3.5,7,90.5
0.9,0.9,1.4,3.5,8,149
0.9,0.9,1.4,3.5,9,221.133333333333
0.9,0.9,1.4,3.5,10,304.233333333333
0.9,0.9,1.4,3.5,11,419.8
0.9,0.9,1.4,3.5,12,564.666666666667
0.9,0.9,1.4,3.5,13,745.333333333333
0.9,0.9,1.4,3.5,14,954.233333333333
0.9,0.9,1.4,3.5,15,1180.63333333333
0.9,0.9,1.4,3.5,16,1419.83333333333
0.9,0.9,1.4,3.5,17,1686.1
0.9,0.9,1.4,3.5,18,1981.03333333333
0.9,0.9,1.4,3.5,19,2287.6
0.9,0.9,1.4,3.5,20,2596.76666666667
0.9,0.9,1.4,3.5,21,2884.8
0.9,0.9,1.4,3.5,22,3144.33333333333
0.9,0.9,1.4,3.5,23,3359.86666666667
0.9,0.9,1.4,3.5,24,3524.1
0.9,0.9,1.4,3.5,25,3645
0.9,0.9,1.4,3.5,26,3722.86666666667
0.9,0.9,1.4,3.5,27,3767.83333333333
0.9,0.9,1.4,3.5,28,3789.3
